published_date,type,title,url,view_count,like_count,comment_count,guest_name,party,affiliation_wing,prominence,guest_style,topics,topic_wing,topic_treatment,stance,bias_category,framing_score,vader_title,vader_desc,vader_composite,guest_episodes,guest_median_views,guest_influence_tier,prominence_label,manual_review
2022-04-10,livestream,Money & Crypto for Dummies with Saifdean Ammous,https://www.youtube.com/watch?v=S-fjqYqyXpM,21405,954,588,Saifdean Ammous,,,,,economy_and_cost_of_living,contested,unknown,unknown,unclassified,0.0,0.0,0.0,0.0,1,21405.0,low,,
2022-04-20,livestream,Cancelled Comic Makes Huge Comeback - Chris McGlade,https://www.youtube.com/watch?v=LbvyTnjpF0I,30302,1539,209,Chris McGlade,,,,,woke_and_cancel_culture|free_speech_and_censorship|culture_war_general,right,unknown,unknown,unclassified,0.0,0.0772,0.0,0.0772,2,55740.5,low,,
2022-04-24,livestream,Douglas Murray: The War on the West,https://www.youtube.com/watch?v=nzsD2XH5Ef4,218787,9368,1647,Douglas Murray,Right-wing commentator,right,4.0,,culture_war_general,right,sympathetic_to_right,unknown,right_affiliated_unknown,1.0,-0.5994,0.0,-0.5994,14,189754.0,medium,Cabinet/Platform,
2022-04-27,livestream,"""Children Are Being Irreversibly Damaged"" - James Esses",https://www.youtube.com/watch?v=BjDSlpCuWuk,106193,5168,1021,James Esses,,,,,,unknown,unknown,unknown,unclassified,0.5,-0.4404,0.0,-0.4404,1,106193.0,low,,
2022-05-01,livestream,How Commodities Markets Cause War & Chaos - Rupert Russell,https://www.youtube.com/watch?v=hJo0oK2sfP4,23913,826,172,Rupert Russell,,,,,,unknown,unknown,unknown,unclassified,0.0,-0.8225,0.0,-0.8225,1,23913.0,low,,
2022-05-08,livestream,"Toby Young: ""New Law is the Greatest Blow to Free Speech""",https://www.youtube.com/watch?v=ja3VgeK2SbQ,49364,1950,412,Toby Young,Right-wing commentator,right,3.0,,woke_and_cancel_culture|free_speech_and_censorship|uk_politics|economy_and_cost_of_living,right,neutral,unknown,right_affiliated_unknown,0.0,0.8176,0.0,0.8176,3,49364.0,low,Senior/Established,
2022-05-15,livestream,"Elon Musk, Twitter & Free Speech with Greg Lukianoff",https://www.youtube.com/watch?v=E8x76QHgEYY,26789,1173,245,Greg Lukianoff,,,,,free_speech_and_censorship|trump_and_us_politics,right,unknown,unknown,unclassified,0.0,0.5106,0.0,0.5106,1,26789.0,low,,
2022-05-18,livestream,Why I Detransitioned - Exulansic,https://www.youtube.com/watch?v=wUgHMOqWXMQ,397027,15497,3436,Exulansic,,,,,trans_and_gender,right,sympathetic_to_right,unknown,right_topic_sympathetic,1.0,0.0,0.0,0.0,1,397027.0,medium,,
2022-05-22,livestream,"Steven Woolfe: ""Immigration is Out of Control""",https://www.youtube.com/watch?v=Oeas-Jk5-gM,45077,2340,500,Steven Woolfe,,,,,immigration_and_borders|uk_politics,right,unknown,unknown,unclassified,0.0,0.0,0.0,0.0,1,45077.0,low,,
2022-05-25,livestream,"Undercover Cop: ""Drug Policing Makes Things Worse""",https://www.youtube.com/watch?v=ABqpbr2FXog,40729,2065,612,Undercover Cop,,,,,uk_politics|crime_and_policing,contested,unknown,unknown,unclassified,0.0,-0.4767,0.0,-0.4767,1,40729.0,low,,
2022-05-27,livestream,Cancelled by Woke Church of England - Calvin Robinson,https://www.youtube.com/watch?v=L9mwd8NYbzU,91923,4248,840,Calvin Robinson,,,,,woke_and_cancel_culture|uk_politics,right,sympathetic_to_right,unknown,right_topic_sympathetic,1.5,-0.25,0.1531,-0.12907,2,198892.5,medium,,
2022-06-01,livestream,The Personality Disorders Behind Wokeness With Josh Slocum,https://www.youtube.com/watch?v=t19vFHf2vV0,166469,8002,1836,Josh Slocum,,,,,woke_and_cancel_culture|immigration_and_borders,right,sympathetic_to_right,unknown,right_topic_sympathetic,2.0,0.0,0.0,0.0,1,166469.0,medium,,
2022-06-05,livestream,The Dark Side of Dating Apps - James Bloodworth,https://www.youtube.com/watch?v=Ve6KXYYN1ME,117292,2746,1391,James Bloodworth,,,,,uk_politics|culture_war_general,right,unknown,unknown,unclassified,0.0,0.0,0.0,0.0,2,65551.0,low,,
2022-06-15,livestream,"""Trans Ideology is the New Homophobia"" - Arielle Scarcella",https://www.youtube.com/watch?v=NrH-W9XfOj8,676568,22987,5765,Arielle Scarcella,,,,,trans_and_gender|uk_politics|culture_war_general,right,unknown,unknown,unclassified,0.0,0.0,0.0,0.0,2,362248.5,medium,,
2022-06-19,livestream,"""Politicians Ignore Most Issues People Actually Care About"" - Mike Graham",https://www.youtube.com/watch?v=Sbr7W5PvuMY,77769,3121,608,Mike Graham,Right-wing commentator,right,3.0,,,unknown,unknown,unknown,right_affiliated_unknown,0.0,0.1779,0.0,0.1779,7,65645.0,low,Senior/Established,
2022-06-22,livestream,"Project Veritas: ""We Expose Corruption, Lies and Abuse""",https://www.youtube.com/watch?v=eMYlpS_g8NU,66452,4566,535,Project Veritas,,,,,trump_and_us_politics,contested,unknown,unknown,unclassified,0.0,-0.8225,0.0,-0.8225,1,66452.0,low,,
2022-06-26,livestream,How Elites Hurt the Poor With Terrible Ideas - Rob Henderson,https://www.youtube.com/watch?v=Slm6K8XsYwk,196820,8092,1264,Rob Henderson,,,,,,unknown,unknown,unknown,unclassified,0.0,-0.9217,0.0,-0.9217,2,128787.5,low,,
2022-06-29,livestream,"Andrew Sullivan: ""Leave Kids the F*ck Alone!""",https://www.youtube.com/watch?v=K8f_f-lhuUw,107251,4425,1951,Andrew Sullivan,,,,,trans_and_gender|trump_and_us_politics,right,sympathetic_to_right,unknown,right_topic_sympathetic,0.5,-0.126,0.0,-0.126,2,97944.5,low,,
