published_date,title,url,topics,n_topics,framing_score,tags_framing_score,guest_signal,identity_signal,guest_name_detected,guest_style,combined_score,combined_label,signal_sources,confidence,label_stage4b,label_stage5,label_stage6,cumulative_bias_score,score_lexicon,score_tags,score_guest_talkingpoints,score_guest_identity,combined_label_with_manual,manual_override_applied,manual_override_note
2019-09-06,Andy Ngo Denies Bias Allegations,https://www.youtube.com/watch?v=GB9FBLZ-lu0,free_speech_and_censorship,1,0.5,0.5,0.0,0.0,,,0.5,right-leaning,tags,low,right-leaning,right-leaning,right-leaning,0.5,0.0,0.5,0.0,0.0,right-leaning,False,
2019-09-08,Andy Ngo on Antifa and Left Wing Violence,https://www.youtube.com/watch?v=MazigYOwK3A,culture_war_general|crime_and_policing,2,1.5,0.5,1.0,1.0,Andy Ngo,,2.5,right-leaning,lexicon|tags|guest,high,right-leaning,right-leaning,right-leaning,3.5,1.0,0.5,1.0,1.0,right-leaning,False,
2019-09-13,How ISIS Fuelled Populism,https://www.youtube.com/watch?v=aEJFE4NGlo8,trump_and_us_politics|uk_politics,2,1.5,1.5,0.0,0.0,,,1.5,right-leaning,tags,medium,right-leaning,right-leaning,right-leaning,1.5,0.0,1.5,0.0,0.0,right-leaning,False,
2019-09-15,Can We Stop Terrorism and What Do Islamists Want?,https://www.youtube.com/watch?v=4x_JRJXhpQ0,immigration_and_borders|islam_and_extremism,2,0.0,0.0,0.0,0.0,,,0.0,contested,lexicon,low,unknown,contested,contested,0.0,0.0,0.0,0.0,0.0,contested,False,
2019-09-17,Demonetisation! Join the Cause,https://www.youtube.com/watch?v=16m1ivzXpWg,,0,0.0,0.0,0.0,0.0,,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2019-09-19,Why I Left Labour Over Anti Semitism,https://www.youtube.com/watch?v=0B1lsIZIBFA,israel_and_middle_east|uk_politics|culture_war_general,3,1.0,0.0,0.0,0.0,,,1.0,right-leaning,lexicon,medium,right-leaning,right-leaning,right-leaning,1.0,1.0,0.0,0.0,0.0,right-leaning,False,
2019-09-22,Political Persuasion From Blair to Trump,https://www.youtube.com/watch?v=kywnrOC79uw,trump_and_us_politics|culture_war_general,2,0.0,0.0,0.0,0.0,,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2019-09-24,"Douglas Murray: Forgiveness, Trump, Trudeau and Blackface",https://www.youtube.com/watch?v=OP3fmaiXi7I,trump_and_us_politics|uk_politics,2,0.0,0.0,1.0,1.0,Douglas Murray,,1.0,right-leaning,guest,medium,right-leaning,right-leaning,right-leaning,2.0,0.0,0.0,1.0,1.0,right-leaning,False,
2019-09-29,Douglas Murray: Identity Politics is Dangerous,https://www.youtube.com/watch?v=ptoqHNDqB9I,woke_and_cancel_culture|free_speech_and_censorship|trump_and_us_politics|uk_politics,4,1.5,0.5,1.0,1.0,Douglas Murray,,2.5,right-leaning,lexicon|tags|guest,high,right-leaning,right-leaning,right-leaning,3.5,1.0,0.5,1.0,1.0,right-leaning,False,
2019-10-02,Rod Liddle: Freedom of Speech & Being an Equal Opportunities C***,https://www.youtube.com/watch?v=w5Q4Rmbk0LA,free_speech_and_censorship,1,0.0,0.0,0.0,0.0,Rod Liddle,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
