guest_name,episode_count,sample_title,guest_style
Dr James Orr,1,Dr James Orr: The Barbarians Aren't at the Gates...,
Dr Dina McMillan,1,"""Burning and Looting Doesn't Make People Less Racist"" - Dr Dina McMillan",
Dr Brian Keating,1,"Dr Brian Keating on Aliens, Mars and the Origin of Everything",
Doug Stanhope,1,"Doug Stanhope on Drugs, Drink & Comedy",
Dave Smith VS Triggernometry,1,"Dave Smith VS Triggernometry: War, Nick Fuentes, Tucker Carlson and the American Empire",resentment
Doctor,1,Doctor: Why I Changed My Mind About Abortion,
David Zweig,1,How Twitter Censored COVID Dissent - David Zweig,
David Swift,1,"""The Left Should Concentrate on What Matters To Ordinary People"" - David Swift",
David Pilling,1,David Pilling on the Growth Delusion and Good News about Africa,
David McWilliams,1,"David McWilliams: ""We Can Avoid a Great Depression""",
David Fuller of Rebel Wisdom,1,Where Did the Mainstream Media Go Wrong? - David Fuller of Rebel Wisdom,
David Davis MP,1,They Censored the Scientists - David Davis MP,
Charlotte Gill,1,“The Biggest Scandal You’ve Never Heard Of” - Charlotte Gill,
Charlie Peters,1,The UNCENSORED Truth About Grooming Gangs - Charlie Peters,
Cenk Uygur,1,The Dems Need a Civil War - Cenk Uygur,
Andrew Lawrence,1,"""How I Got Cancelled"" - Andrew Lawrence",
Ayaan Hirsi Ali,1,Ayaan Hirsi Ali: The Growing Threat of Radical Islam,
Astrophysicist,1,Astrophysicist: Are We Alone in the Universe?,
Ashley St. Clair,1,"Andrew Tate, Elon Musk, AI Girlfriends and the Immigration Crisis - Ashley St. Clair",
Ashley St Clair,1,"Andrew Tate, Elon Musk, AI Girlfriends and the Immigration Crisis - Ashley St Clair",
Ari Shaffir,1,“The Internet is Not Reality” - Ari Shaffir,
Are Women Safe,1,Are Women Safe on Our Streets? Emma Webb & Ella Whelan,
Andrew Roberts,1,The Truth About Winston Churchill - Andrew Roberts,
Andrew Gold.,1,“The net figures are not reflective of reality.” - Konstantin Kisin on Heretics with Andrew Gold.,
BANK ROW,1,BANK ROW: Konstantin Kisin Interviewed on BBC,
Andrew Fox,1,"""It needs to end."" - Andrew Fox",
Andrei Illarionov,1,Trump's Deal Will be the End of Ukraine - Andrei Illarionov,
Alex Phillips,1,Is Mass Immigration Making Women Less Safe? - Alex Phillips,
Aimen Dean,1,Is the West at War With Islam? - Aimen Dean,
Ahmed Fouad Alkhatib,1,Israel Killed My Family But I Want Peace - Ahmed Fouad Alkhatib,
Africa Brooke,1,"""They've Weaponised Guilt and Shame"" - Africa Brooke",
Adam Carolla Unfiltered,1,"Adam Carolla Unfiltered on Immigration, Activism and Women",
Ayishat Akanbi,1,"""Victimhood is a State of Mind"" - Ayishat Akanbi",
BBC JOURNALIST,1,BBC JOURNALIST: How Gender Clinics FAILED Gay Kids,
Carl Trueman,1,Technocracy Can't Answer Moral Questions - Carl Trueman,
Boris Johnson,1,"Boris Johnson: ""I Talked to Putin...""",
Carl Benjamin,1,"Carl Benjamin on Big Government, Immigration and Censorship",
Caolan Robertson,1,My Trans Twitter Spat With J.K Rowling - Caolan Robertson,
Candice Horbacz,1,"Porn, Only Fans and Bodycount - Candice Horbacz",
Bridget Phetasy,1,Bridget Phetasy: I Regret Being a Sl*t,
Breaking The Narrative,1,Breaking The Narrative: The Real Story of Slavery - Konstantin Kisin,
Breaking News,1,Breaking News: Southport Stabbings Are the Knife's Fault,
Bradley Cooper,1,“I found TRIGGERNOMETRY very fascinating… they’re great.” - Bradley Cooper,
Bonnie Snyder,1,"""They Are Indoctrinating Your Children"" - Bonnie Snyder",
BREAKING NEWS,1,BREAKING NEWS: Shocking Racism at the BBC,
