guest_name,episode_count,sample_title,guest_style
Esther Krakue,1,"""Women Have Been Scammed"" - Esther Krakue",
George Galloway,1,"""Julian Assange Is Being Punished for Exposing War Crimes"" - George Galloway",
Former Met Officer Speaks Out,1,"""The Police Aren't Racist"" - Former Met Officer Speaks Out",
Gender Clinic SHUT DOWN,1,Gender Clinic SHUT DOWN: Journalist Breaks Down Investigation,
Funke Abimbola,1,"""White Privilege is a Divisive Idea"" - Funke Abimbola",
Freedom Debate,1,Freedom Debate: Konstantin Kisin vs Ash Sarkar,
Freddy Quinne,1,"Was the ""Kill Whitey"" BBC Joke Too Far? with Freddy Quinne",
Fraser Myers,1,Fraser Myers on the Yellow Vest Protests and Internet Censorship,
Frank Furedi,1,"""The West Has Lost Its Confidence"" - Frank Furedi",
Francis Boulle,1,Francis Boulle on Classical Liberalism and the Dangers of Reality TV,
Fashion Expert,1,"Fashion Expert: What Clothes Tell Us About Culture, Politics and War",
Ex Mossad Director Yossi Cohen,1,How We Got Iran's Nuclear Secrets - Ex Mossad Director Yossi Cohen,
Exulansic,1,Why I Detransitioned - Exulansic,
Explosive Debate,1,Explosive Debate: Biden Vs. Trump with Destiny and Dr Sebastian Gorka,
Explained,1,Explained: The Facial Scar Test (Social Experiment),
Ex-Putin Advisor,1,"Ex-Putin Advisor: ""He Must Be Stopped""",
Ex-Muslim,1,Ex-Muslim: This is a Difficult Conversation | Sarah Haider,
